kll|genki|state|jlpt|type|writing|reading|english|swedish
|||n2|adverb|相変わらず|あいかわらず|as ever,as usual,the same|som vanligt,som alltid
|||n2|noun|アイデア,アイディア|アイデア,アイディア|idea|idé
||hidden|n2|other|あいまい|あいまい|vague,ambiguous
||hidden|n2|other|遭う|あう|to meet,to encounter (undesirable nuance)
||hidden|n2|other|扇ぐ|あおぐ|to fan,to flap
||hidden|n2|other|青白い|あおじろい|pale,pallid
||hidden|n2|other|あかんぼう|あかんぼう|baby
||hidden|n2|other|明き|あき|room,time to spare,emptiness
||hidden|n2|other|あきれる|あきれる|to be amazed,to be shocked
||hidden|n2|other|アクセント|アクセント|accent
||hidden|n2|other|あくび|あくび|yawn
||hidden|n2|other|飽くまで|あくまで|to the end,to the last,stubbornly
||hidden|n2|other|明け方|あけがた|dawn
||hidden|n2|other|揚げる|あげる|to lift,to fry
||hidden|n2|other|挙げる|あげる|to raise,to fly
||hidden|n2|other|あげる|あげる (=やる)|to do for
||hidden|n2|other|憧れる|あこがれる|to long for,to yearn after,to admire
||hidden|n2|other|足跡|あしあと|footprints
||hidden|n2|other|味わう|あじわう|to taste,to savor,to relish
||hidden|n2|other|預かる|あずかる|to keep in custody,to receive on deposit,to take charge of
||hidden|n2|other|暖まる|あたたまる|to warm up,to get warm
||hidden|n2|other|暖める|あたためる|to warm,to heat
||hidden|n2|other|あたりまえ|あたりまえ|usual,common,ordinary
||hidden|n2|other|あひら|あひら|
||hidden|n2|other|あちらこちら|あちらこちら|here and there
||hidden|n2|other|厚かましい|あつかましい|impudent,shameless,brazen
||hidden|n2|other|圧縮|あっしゅく|compression,condensation,pressure
||hidden|n2|other|宛名|あてな|address,direction
||hidden|n2|other|あてはまる|あてはまる|to be applicable,to come under (a category),to fulfill
||hidden|n2|other|あてはめる|あてはめる|to apply,to adapt
||hidden|n2|other|暴れる|あばれる|to act violently,to rage,to struggle,to be riotous
||hidden|n2|other|脂|あぶら|fat,tallow,lard
||hidden|n2|other|あぶる|あぶる|to scorch
||hidden|n2|other|あふれる|あふれる|to flood,to overflow,to brim over
||hidden|n2|other|雨戸|あまど|sliding storm door
||hidden|n2|other|甘やかす|あまやかす|to pamper,to spoil
||hidden|n2|other|余る|あまる|to remain,to be left over,to be in excess,to be too many
||hidden|n2|other|編物|あみもの|knitting,web
|13||n2|verb|編む|あむ|to knit,sticka
||hidden|n2|other|危うい|あやうい|dangerous,critical,grave
||hidden|n2|other|怪しい|あやしい|suspicious,dubious,doubtful
||hidden|n2|other|荒い|あらい|rough,rude,wild
||hidden|n2|other|粗い|あらい|coarse,rough
||hidden|n2|other|あらすじ|あらすじ|outline,summary
||hidden|n2|other|争う|あらそう|to dispute,to argue,to be at variance,to compete
||hidden|n2|other|改めて|あらためて|another time,again,over again,anew,formally
||hidden|n2|other|改める|あらためる|to change,to alter,to reform,to revise
||hidden|n2|other|著す|あらわす|to write,to publish
||hidden|n2|other|有難い|ありがたい|grateful,thankful,welcome,appreciated,evoking gratitude
||hidden|n2|other|在る|ある|to live,to be
||hidden|n2|other|あれこれ|あれこれ|one thing or another,this and that,this or that
||hidden|n2|other|あわただしい|あわただしい|busy,hurried,confused,flurried
||hidden|n2|other|あわてる|あわてる|to become confused
||hidden|n2|other|安易|あんい|easy-going
||hidden|n2|other|案外|あんがい|unexpectedly
||hidden|n2|other|アンテナ|アンテナ|antenna
||hidden|n2|other|言い出す|いいだす|to start talking,to speak,to tell,to propose,to suggest,to break the ice
||hidden|n2|other|言い付ける|いいつける|to tell,to tell on (someone),to order
||hidden|n2|other|意義|いぎ|meaning,significance
||hidden|n2|other|生き生き|いきいき|vividly,lively
||hidden|n2|other|いきなり|いきなり|(uk) abruptly,suddenly,all of a sudden,without warning
||hidden|n2|other|育児|いくじ|childcare,nursing,upbringing
||hidden|n2|other|幾分|いくぶん|somewhat
||hidden|n2|other|生け花|いけばな|(1) flower arrangement
||hidden|n2|other|以後|いご|after this,from now on,hereafter,thereafter
||hidden|n2|other|以降|いこう|on and after,hereafter,thereafter
||hidden|n2|other|イコール|イコール|equal
||hidden|n2|other|勇ましい|いさましい|brave,valiant,gallant,courageous
||hidden|n2|other|衣食住|いしょくじゅう|necessities of life (food, clothing, etc.)
||hidden|n2|other|意地悪|いじわる|malicious,ill-tempered,unkind
||hidden|n2|other|いちいち|いちいち|one by one,separately
||hidden|n2|other|一応|いちおう|once,tentatively,in outline,for the time being
||hidden|n2|other|一段と|いちだんと|greater,more,further,still more
||hidden|n2|other|一流|いちりゅう|first class,top grade,foremost,top-notch
||hidden|n2|other|佚|いつ|be lost,peace,hide,mistake,beautiful,in turn
||hidden|n2|other|一昨日|いっさくじつ|day before yesterday
||hidden|n2|other|一昨年|いっさくねん|year before last
||hidden|n2|other|一斉|いっせい|simultaneous,all at once
||hidden|n2|other|一旦|いったん|once,for a moment,one morning,temporarily
||hidden|n2|other|一定|いってい|fixed,settled,definite
||hidden|n2|other|いっていらっしゃい|いっていらっしゃい|
||hidden|n2|other|いってらっしゃい|いってらっしゃい|
||hidden|n2|other|いってまいります|いってまいります|
||hidden|n2|other|いつのまにか|いつのまにか|before one knows,unnoticed,unawares
||hidden|n2|other|移転|いてん|moving,transfer,demise
||hidden|n2|other|井戸|いど|water well
||hidden|n2|other|緯度|いど|latitude (nav.)
||hidden|n2|other|従姉妹|いとこ|cousin (female)
||hidden|n2|other|威張る|いばる|to be proud,to swagger
||hidden|n2|other|嫌がる|いやがる|to hate,to dislike
||hidden|n2|other|いよいよ|いよいよ|more and more,all the more,increasingly,at last,beyond doubt
||hidden|n2|other|煎る|いる|to parch,to fry
||hidden|n2|other|炒る|いる|
||hidden|n2|other|入れ物|いれもの|container,case,receptacle
||hidden|n2|other|インキ|インキ|ink
||hidden|n2|other|インタビュー|インタビュー|interview
||hidden|n2|other|引力|いんりょく|gravity
||hidden|n2|other|ウーマン|ウーマン|woman
||hidden|n2|other|ウール|ウール|wool
||hidden|n2|other|ウエートレス|ウエートレス|waitress
||hidden|n2|other|植木|うえき|garden shrubs,trees,potted plant
||hidden|n2|other|飢える|うえる|to starve
||hidden|n2|other|浮ぶ|うかぶ|to float,to rise to surface,to come to mind
||hidden|n2|other|浮かべる|うかべる|to float,to express,to look (sad, glad)
||hidden|n2|other|浮く|うく|to float,to become merry,to become loose
||hidden|n2|other|承る|うけたまわる|(hum) to hear,to be told,to know
||hidden|n2|other|受取|うけとり|receipt
||hidden|n2|other|受け持つ|うけもつ|to take (be in) charge of
||hidden|n2|other|薄暗い|うすぐらい|dim,gloomy
||hidden|n2|other|薄める|うすめる|to dilute,to water down
||hidden|n2|other|打合せ|うちあわせ|business meeting,previous arrangement,appointment
||hidden|n2|other|打ち消す|うちけす|to deny,to negate,to contradict
||hidden|n2|other|討つ|うつ|to attack,to avenge
||hidden|n2|other|うっかり|うっかり|carelessly,thoughtlessly,inadvertently
||hidden|n2|other|映す|うつす|to project,to reflect,to cast (shadow)
||hidden|n2|other|写る|うつる|to be photographed,to be projected
||hidden|n2|other|映る|うつる|to be reflected,to harmonize with,to come out (photo)
||hidden|n2|other|うどん|うどん|noodles (Japanese)
||hidden|n2|other|有無|うむ|yes or no,existence,flag indicator (comp),presence or absence marker
||hidden|n2|other|埋める|うめる|to bury,to fill up,to fill (a seat, a vacant position)
||hidden|n2|other|敬う|うやまう|to show respect,to honour
||hidden|n2|other|裏返す|うらがえす|to turn inside out,to turn (something) over
||hidden|n2|other|裏口|うらぐち|backdoor,rear entrance
||hidden|n2|other|占う|うらなう|to forecast,to predict
||hidden|n2|other|恨み|うらみ|resentment
|||n2|verb|恨む|うらむ|to curse,to feel bitter|svära,vara bitter
|17||n2|adjective|羨ましい|うらやましい|envious,enviable|avundsjuk,avundsvärd
|||n2|verb|羨む|うらやむ|to envy|avundas
|||n2|noun|売上|うりあげ|amount sold,proceeds|antal sålda,avkastning
|||n2|noun|売り切れ|うりきれ|sold-out|utsåld
|||n2|verb|売り切れる|うりきれる|to be sold out|vara slutsåld
|||n2|noun|売行き|うれゆき|sales|rea
|||n2|noun|うろうろ|うろうろ|loiteringly,aimless wandering|strosande
|||n2|noun|運河|うんが|canal,waterway|kanal
|||n2|adverb|うんと|うんと|a great deal,very much|väldigt
|||n2|noun|英文|えいぶん|sentence in English,mening på engelska
|||n2|adjective|英和|えいわ|English-Japanese (e.g. dictionary),engelsk-japansk
|16||n2|interjection|ええと|ええと|let me see,well,er....|hu
|||n2|noun|液体|えきたい|liquid,fluid|vätska
|||n2|noun|エチケット|エチケット|etiquette|etikett
|||n2|noun|絵の具|えのぐ|colors,paints|färger
|||n2|noun|エプロン|エプロン|apron|förkläde
||hidden|n2|other|偉い|えらい|great,celebrated,eminent,terrible,awful,famous,remarkable,excellent
||hidden|n2|other|宴会|えんかい|party,banquet
||hidden|n2|other|園芸|えんげい|horticulture,gardening
||hidden|n2|other|演劇|えんげき|play (theatrical)
||hidden|n2|other|円周|えんしゅう|circumference
||hidden|n2|other|遠足|えんそく|trip,hike,picnic
||hidden|n2|other|延長|えんちょう|extension,elongation,prolongation,lengthening
||hidden|n2|other|煙突|えんとつ|chimney
||hidden|n2|other|追い掛ける|おいかける|to chase or run after someone,to run down,to pursue
||hidden|n2|other|追い越す|おいこす|to pass (e.g. car),to outdistance,to outstrip
||hidden|n2|other|オイル|オイル|oil,engine oil,kerosene
||hidden|n2|other|応援|おうえん|aid,assistance,help,reinforcement
||hidden|n2|other|王女|おうじょ|princess
||hidden|n2|other|応ずる|おうずる|to answer,to respond,to meet,to satisfy,to accept
||hidden|n2|other|応接|おうせつ|reception
||hidden|n2|other|応対|おうたい|receiving,dealing with
||hidden|n2|other|往復|おうふく|(col) round trip,coming and going,return ticket
||hidden|n2|other|欧米|おうべい|Europe and America,the West
||hidden|n2|other|応用|おうよう|application,put to practical use
||hidden|n2|other|オーケストラ|オーケストラ|orchestra
||hidden|n2|other|おおざっぱ|おおざっぱ|rough (not precise),broad,sketchy
||hidden|n2|other|大通り|おおどおり|main street
||hidden|n2|other|オートメーション|オートメーション|automation
||hidden|n2|other|オーバーコート|オーバーコート|
||hidden|n2|other|大凡|おおよそ|about,roughly,as a rule,approximately
||hidden|n2|other|お帰り|おかえり|return,welcome
||hidden|n2|other|おかけください|おかけください|
||hidden|n2|other|おかげさまで|おかげさまで|Thanks to god,thanks to you
||hidden|n2|other|おかず|おかず|side dish,accompaniment for rice dishes
||hidden|n2|other|拝む|おがむ|to worship,to beg,to make a supplication
||hidden|n2|other|お代わり|おかわり|second helping,another cup
||hidden|n2|other|補う|おぎなう|to compensate for
||hidden|n2|other|おきのどくに|おきのどくに|
||hidden|n2|other|屋外|おくがい|outdoors
||hidden|n2|other|おくさん|おくさん|(hon) wife,your wife,madam
||hidden|n2|other|送り仮名|おくりがな|part of word written in kana
||hidden|n2|other|おげんきで|おげんきで|
||hidden|n2|other|怠る|おこたる|to neglect,to be off guard,to be feeling better
||hidden|n2|other|押える|おさえる|to stop,to restrain,to seize,to repress,to suppress,to press down
||hidden|n2|other|おさきに|おさきに|before,ahead,previously
||hidden|n2|other|納める|おさめる|to obtain,to reap,to pay,to supply,to accept
||hidden|n2|other|治める|おさめる|(1) to govern,to manage,(2) to subdue
||hidden|n2|other|惜しい|おしい|regrettable,disappointing,precious
||hidden|n2|other|御辞儀|おじぎ|bow
||hidden|n2|other|伯父さん|おじさん|middle-aged gentleman,uncle
||hidden|n2|other|小父さん|おじさん|middle-aged gentleman,uncle
||hidden|n2|other|叔父さん|おじさん|middle-aged gentleman,uncle
||hidden|n2|other|おしゃれ|おしゃれ|smartly dressed,someone smartly dressed,fashion-conscious
||hidden|n2|other|おじゃまします|おじゃまします|Excuse me for disturbing you
||hidden|n2|other|教わる|おそわる|to be taught
||hidden|n2|other|おだいじに|おだいじに|Take care of yourself
||hidden|n2|other|落着く|おちつく|to calm down,to settle down
||hidden|n2|other|御手洗|おてあらい|font of purifying water placed at entrance of shrine
||hidden|n2|other|お出掛け|おでかけ|
||hidden|n2|other|お手伝いさん|おてつだいさん|maid
||hidden|n2|other|おどかす|おどかす|to threaten,to coerce
||hidden|n2|other|落し物|おとしもの|lost property
||hidden|n2|other|おととい|おととい|day before yesterday
||hidden|n2|other|おととし|おととし|year before last
||hidden|n2|other|おとなしい|おとなしい|obedient,docile,quiet
||hidden|n2|other|驚かす|おどろかす|to surprise,to frighten,to create a stir
||hidden|n2|other|おねがいします|おねがいします|please
||hidden|n2|other|各々|おのおの|each,every,either,respectively,severally
||hidden|n2|other|伯母さん|おばさん|(hon) aunt
||hidden|n2|other|叔母さん|おばさん|(1) aunt,(2) middle-aged lady
||hidden|n2|other|おはよう|おはよう|(abbr) Good morning
||hidden|n2|other|お参り|おまいり|worship,shrine visit
||hidden|n2|other|おまたせしました|おまたせしました|Sorry to have kept you waiting
||hidden|n2|other|おまちください|おまちください|Please wait a moment
||hidden|n2|other|おまちどおさま|おまちどおさま|Sorry to have kept you waiting
||hidden|n2|other|おめでたい|おめでたい|happy event,matter for congratulation,auspicious event,pregnancy
||hidden|n2|other|思い掛けない|おもいがけない|unexpected,casual
||hidden|n2|other|思い込む|おもいこむ|to be under impression that,to be convinced that
||hidden|n2|other|思いっ切り|おもいっきり|
||hidden|n2|other|思い付く|おもいつく|to think of,to hit upon
||hidden|n2|other|重たい|おもたい|heavy,massive,serious
||hidden|n2|other|おやすみ|おやすみ|(1) holiday,absence,rest,(2) (exp) Good night
||hidden|n2|other|おやつ|おやつ|(1) between meal snack,afternoon refreshment
||hidden|n2|other|親指|おやゆび|thumb
||hidden|n2|other|オルガン|オルガン|organ
||hidden|n2|other|卸す|おろす|to sell wholesale,grated (vegetables)
||hidden|n2|other|恩恵|おんけい|grace,favor,blessing,benefit
||hidden|n2|other|温室|おんしつ|greenhouse
||hidden|n2|other|温泉|おんせん|spa,hot spring,onsen
||hidden|n2|other|温帯|おんたい|temperate zone
||hidden|n2|other|御中|おんちゅう|and Company,Messrs.
||hidden|n2|other|女の人|おんなのひと|woman
||hidden|n2|other|蚊|か|mosquito
||hidden|n2|other|カーブ|カーブ|(1) curve,(2) curve ball (baseball)
||hidden|n2|other|貝|かい|shell,shellfish
||hidden|n2|other|開会|かいかい|opening of a meeting
||hidden|n2|other|会館|かいかん|meeting hall,assembly hall
||hidden|n2|other|改札|かいさつ|examination of tickets
||hidden|n2|other|解散|かいさん|breakup,dissolution
||hidden|n2|other|海水浴|かいすいよく|sea bathing,seawater bath
||hidden|n2|other|回数|かいすう|number of times,frequency
||hidden|n2|other|回数券|かいすうけん|book of tickets
||hidden|n2|other|改正|かいせい|revision,amendment,alteration
||hidden|n2|other|快晴|かいせい|good weather
||hidden|n2|other|解説|かいせつ|explanation,commentary
||hidden|n2|other|改造|かいぞう|(1) remodeling,(2) modding (comp)
||hidden|n2|other|開通|かいつう|opening,open
||hidden|n2|other|回転|かいてん|rotation,revolution,turning
||hidden|n2|other|解答|かいとう|answer,solution
||hidden|n2|other|回答|かいとう|reply,answer
||hidden|n2|other|外部|がいぶ|the outside,external
||hidden|n2|other|解放|かいほう|release,liberation,emancipation
||hidden|n2|other|開放|かいほう|open,throw open,liberalization
||hidden|n2|other|海洋|かいよう|ocean
||hidden|n2|other|概論|がいろん|intro,outline,general remarks
||hidden|n2|other|帰す|かえす|to send back
||hidden|n2|other|却って|かえって|on the contrary,rather,all the more,instead
||hidden|n2|other|代える|かえる|to exchange,to interchange,to substitute,to replace
||hidden|n2|other|反る|かえる|to warp,to be warped,to curve
||hidden|n2|other|家屋|かおく|house,building
||hidden|n2|other|係わる|かかわる|to concern oneself in,to have to do with,to affect,to influence,to stick to (opinions)
||hidden|n2|other|書留|かきとめ|writing down,putting on record,recording,making a note of,registration (of mail)
||hidden|n2|other|書取|かきとり|dictation
||hidden|n2|other|垣根|かきね|hedge
||hidden|n2|other|掻く|かく|to scratch,to perspire
||hidden|n2|other|嗅ぐ|かぐ|to sniff,to smell
||hidden|n2|other|架空|かくう|aerial,overhead,fiction,fanciful
||hidden|n2|other|各自|かくじ|individual,each
||hidden|n2|other|拡充|かくじゅう|expansion
||hidden|n2|other|学術|がくじゅつ|science,learning,scholarship
||hidden|n2|other|各地|かくち|every place,various places
||hidden|n2|other|拡張|かくちょう|expansion,extension,enlargement,escape (ESC)
||hidden|n2|other|角度|かくど|angle
||hidden|n2|other|学年|がくねん|year in school,grade in school
||hidden|n2|other|学部|がくぶ|department of a university,undergraduate
||hidden|n2|other|格別|かくべつ|exceptional
||hidden|n2|other|確率|かくりつ|probability
||hidden|n2|other|学力|がくりょく|scholarship,knowledge,literary ability
||hidden|n2|other|掛け算|かけざん|multiplication
||hidden|n2|other|可決|かけつ|approval,adoption (e.g. motion, bill),passage
||hidden|n2|other|火口|かこう|a burner,origin of a fire
||hidden|n2|other|下降|かこう|downward,descent,fall,drop,subsidence
||hidden|n2|other|重なる|かさなる|to be piled up,lie on top of one another,overlap each other
||hidden|n2|other|重ねる|かさねる|to pile up,to put something on another,to heap up,to add,to repeat
||hidden|n2|other|飾り|かざり|decoration
||hidden|n2|other|火山|かざん|volcano
||hidden|n2|other|かしこまりました|かしこまりました|certainly!
||hidden|n2|other|貸し出し|かしだし|lending,loaning
||hidden|n2|other|過失|かしつ|error,blunder,accident
||hidden|n2|other|果実|かじつ|fruit,nut,berry.
||hidden|n2|other|貸間|かしま|room to let
||hidden|n2|other|貸家|かしや|house for rent
||hidden|n2|other|個所|かしょ|passage,place,point,part
||hidden|n2|other|過剰|かじょう|excess,over-
||hidden|n2|other|かじる|かじる|to chew,to bite (at),to gnaw,to nibble
||hidden|n2|other|課税|かぜい|taxation
||hidden|n2|other|下線|かせん|underline,underscore
||hidden|n2|other|カセット|カセット|cassette (tape)
||hidden|n2|other|加速|かそく|acceleration
||hidden|n2|other|加速度|かそくど|acceleration
||hidden|n2|other|固い|かたい|stubborn,firm (not viscous or easily moved)
||hidden|n2|other|堅い|かたい|hard (esp. wood),steadfast,honorable,stuffy writing
||hidden|n2|other|片仮名|かたかな|katakana
||hidden|n2|other|片付く|かたづく|to put in order,to dispose of,to solve
||hidden|n2|other|塊|かたまり|lump,mass,clod,cluster
||hidden|n2|other|固まる|かたまる|to harden,to solidify,to become firm,to become certain
||hidden|n2|other|片道|かたみち|one-way (trip)
||hidden|n2|other|傾く|かたむく|to incline toward,to slant,to lurch
||hidden|n2|other|片寄る|かたよる|to be one-sided,to incline,to be partial
||hidden|n2|other|学科|がっか|study subject,course of study
||hidden|n2|other|学会|がっかい|scientific society,academic meeting
||hidden|n2|other|楽器|がっき|musical instrument
||hidden|n2|other|学級|がっきゅう|grade in school
||hidden|n2|other|担ぐ|かつぐ|to shoulder,to carry on shoulder
||hidden|n2|other|括弧|かっこ|parenthesis,brackets
||hidden|n2|other|活字|かつじ|printing type
||hidden|n2|other|活躍|かつやく|activity
||hidden|n2|other|活力|かつりょく|vitality,energy
||hidden|n2|other|仮定|かてい|assumption,supposition,hypothesis
||hidden|n2|other|過程|かてい|process
||hidden|n2|other|課程|かてい|course,curriculum
||hidden|n2|other|仮名|かな|(n) alias,pseudonym,pen name
||hidden|n2|other|仮名遣い|かなづかい|kana orthography,syllabary spelling
||hidden|n2|other|鐘|かね|bell,chime
||hidden|n2|other|加熱|かねつ|heating
||hidden|n2|other|兼ねる|かねる|to hold (position),to serve,to be unable
||hidden|n2|other|カバー|カバー|cover (ex. book)
||hidden|n2|other|過半数|かはんすう|majority
||hidden|n2|other|被せる|かぶせる|to cover (with something)
||hidden|n2|other|釜|かま|iron pot,kettle
||hidden|n2|other|紙屑|かみくず|wastepaper
||hidden|n2|other|神様|かみさま|god
||hidden|n2|other|剃刀|かみそり|razor
||hidden|n2|other|ガム|ガム|chewing gum
||hidden|n2|other|貨物|かもつ|cargo,freight
||hidden|n2|other|かゆい|かゆい|itchy,itching
||hidden|n2|other|歌謡|かよう|song,ballad
||hidden|n2|other|殻|から|shell,husk,hull,chaff
||hidden|n2|other|カラー|カラー|collar,color,colour
||hidden|n2|other|からかう|からかう|to ridicule,to tease,to banter with,to make fun of
||hidden|n2|other|空っぽ|からっぽ|empty,vacant,hollow
||hidden|n2|other|かるた|かるた|(n) playing cards (pt: carta)
||hidden|n2|other|枯れる|かれる|to wither,to die (plant),to be blasted (plant)
||hidden|n2|other|カロリー|カロリー|calorie
||hidden|n2|other|かわいがる|かわいがる|to love,to be affectionate
||hidden|n2|other|乾かす|かわかす|to dry (clothes, etc.),to desiccate
||hidden|n2|other|渇く|かわく|to be thirsty
||hidden|n2|other|為替|かわせ|money order,exchange
||hidden|n2|other|瓦|かわら|roof tile
||hidden|n2|other|代る|かわる|(v5r,vi) to take the place of,to relieve,to be substituted for
||hidden|n2|other|間隔|かんかく|space,interval,SPC
||hidden|n2|other|換気|かんき|ventilation
||hidden|n2|other|感激|かんげき|deep emotion,impression,inspiration
||hidden|n2|other|関西|かんさい|
||hidden|n2|other|鑑賞|かんしょう|appreciation
||hidden|n2|other|感ずる|かんずる|to feel,to sense
||hidden|n2|other|間接|かんせつ|indirection,indirectness
||hidden|n2|other|乾燥|かんそう|dry,arid,insipid,dehydrated
||hidden|n2|other|感想|かんそう|impressions,thoughts
||hidden|n2|other|観測|かんそく|observation
||hidden|n2|other|寒帯|かんたい|frigid zone
